danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.798,0.686,6,-6.382,1,0.0348,0.0944,0,0.0774,0.626,133.953
0.602,0.486,11,-10.612,1,0.0736,0.449,1.42e-06,0.448,0.386,160.116
0.453,0.374,6,-8.907,1,0.0423,0.636,3.38e-05,0.11,0.195,149.929
0.627,0.398,3,-9.665,0,0.0304,0.853,0.000106,0.362,0.347,115.977
0.481,0.345,9,-8.79,0,0.0402,0.879,0.000359,0.234,0.0848,116.869
0.504,0.418,8,-8.05,1,0.0317,0.884,8.55e-06,0.112,0.45,130.106
0.723,0.844,5,-4.371,1,0.0335,0.405,2.3e-06,0.106,0.846,140.003
0.364,0.335,6,-10.03,1,0.033,0.869,0.000578,0.142,0.25,123.966
0.427,0.417,9,-7.379,0,0.0358,0.592,0,0.18,0.304,133.792
0.72,0.215,9,-12.569,0,0.0382,0.849,9.91e-06,0.0912,0.215,116.054
0.5,0.368,9,-8.598,0,0.0333,0.498,0.000462,0.34,0.254,125.509
0.447,0.297,10,-7.109,1,0.0418,0.904,8.73e-06,0.0859,0.223,86.378
0.443,0.29,6,-10.188,1,0.0302,0.531,0,0.106,0.096,78.129
0.594,0.517,4,-6.189,1,0.032,0.766,1.83e-06,0.091,0.39,123.996
0.403,0.308,9,-9.165,0,0.0297,0.685,6.18e-06,0.201,0.251,101.383
0.536,0.325,10,-8.301,1,0.0267,0.367,2.65e-05,0.176,0.13,95.105
0.315,0.43,4,-7.707,1,0.0385,0.651,4.88e-06,0.0843,0.113,169.176
0.636,0.402,10,-7.858,1,0.0386,0.813,0,0.115,0.293,127.95
0.485,0.346,11,-10.264,0,0.0355,0.915,3.46e-05,0.116,0.259,140.096
0.49,0.321,0,-10.109,0,0.0351,0.738,0,0.19,0.25,127.943
0.62,0.487,2,-7.277,0,0.032,0.749,0,0.114,0.379,132.091
0.351,0.433,9,-7.434,0,0.0306,0.852,0.000403,0.243,0.175,107.997
0.389,0.402,7,-7.537,0,0.0319,0.838,5.85e-06,0.108,0.286,173.705
0.374,0.312,0,-8.577,0,0.0325,0.904,0,0.147,0.171,127.792
0.554,0.499,9,-7.654,0,0.0338,0.831,1.87e-05,0.12,0.197,127.896
0.55,0.435,7,-9.856,1,0.0305,0.754,0,0.0818,0.297,119.985
0.313,0.359,4,-7.766,0,0.0316,0.772,1.02e-06,0.118,0.122,171.743
0.562,0.456,2,-8.873,1,0.0297,0.574,0,0.107,0.133,123.958
0.433,0.239,1,-13.398,1,0.0317,0.89,0,0.531,0.395,109.872
0.468,0.314,9,-9.94,1,0.0383,0.85,2.15e-05,0.11,0.226,139.193
0.622,0.504,7,-8.157,1,0.0364,0.751,0.000769,0.193,0.344,151.888
0.47,0.679,7,-6.024,0,0.0473,0.729,8.19e-05,0.17,0.366,139.886
0.418,0.451,4,-6.487,0,0.035,0.85,7.9e-05,0.166,0.135,133.594
0.445,0.538,7,-8.099,1,0.0667,0.444,0.000517,0.387,0.335,89.959
0.733,0.401,7,-12.366,1,0.0453,0.411,8.99e-05,0.34,0.14,90.007
0.695,0.475,1,-9.685,1,0.0378,0.337,0,0.437,0.747,109.961
0.452,0.415,6,-6.667,1,0.0392,0.807,0,0.114,0.241,125.935
0.492,0.502,3,-6.864,1,0.0542,0.798,0.00474,0.0974,0.395,171.607
0.672,0.461,0,-7.989,1,0.0324,0.888,1.14e-06,0.107,0.395,123.97
0.573,0.609,2,-7.942,0,0.14,0.752,0.0169,0.101,0.2,113.56
0.418,0.382,3,-7.778,1,0.0319,0.786,1.38e-06,0.386,0.261,163.878
0.581,0.396,1,-8.73,1,0.031,0.92,0.000729,0.123,0.377,76.991
0.695,0.687,3,-5.521,1,0.0491,0.526,0.00111,0.162,0.673,80.02
0.538,0.212,9,-9.91,1,0.0418,0.934,0,0.0893,0.416,132.216
0.789,0.639,0,-5.204,1,0.044,0.17,2.48e-05,0.162,0.799,119.981
0.562,0.498,7,-6.742,1,0.0316,0.841,2.53e-05,0.12,0.113,139.897
0.486,0.334,2,-8.769,1,0.0371,0.917,2.26e-05,0.101,0.106,123.901
0.5,0.652,7,-7.335,0,0.0812,0.712,5.85e-06,0.415,0.177,139.877
0.453,0.344,9,-8.108,1,0.0333,0.902,0.000121,0.143,0.195,136.044
0.589,0.433,5,-7.803,1,0.0374,0.843,7.22e-05,0.0915,0.259,127.888
0.576,0.657,10,-7.797,1,0.0473,0.487,3.92e-06,0.131,0.337,109.47
0.421,0.425,6,-8.667,1,0.0537,0.779,0,0.0915,0.465,203.774
0.34,0.446,0,-9.383,0,0.0479,0.969,0.000454,0.128,0.149,177.284
0.695,0.545,4,-5.664,0,0.0427,0.711,3.72e-06,0.241,0.419,119.888
0.667,0.496,10,-6.573,1,0.0496,0.856,0,0.324,0.329,127.893
0.504,0.548,1,-8.053,1,0.0323,0.821,2.99e-06,0.328,0.342,165.912
0.565,0.146,10,-12.109,0,0.029,0.963,3.03e-06,0.159,0.642,89.924
0.721,0.737,10,-7.757,1,0.133,0.663,0,0.664,0.522,128.053
0.689,0.438,5,-8.891,1,0.156,0.771,1.42e-05,0.105,0.653,171.834
0.668,0.643,1,-5.872,1,0.0322,0.346,0.0016,0.115,0.0892,99.982
0.741,0.748,6,-5.984,1,0.0298,0.709,0,0.123,0.495,113.953
0.613,0.449,7,-10.786,1,0.114,0.454,0,0.186,0.191,173.988
0.71,0.414,7,-10.644,0,0.0525,0.903,5.65e-05,0.134,0.161,118.06
0.554,0.433,7,-8.846,1,0.0581,0.891,0.0841,0.294,0.324,75.025
0.696,0.477,6,-11.058,0,0.0421,0.671,0.000367,0.0938,0.335,140.112
0.484,0.325,9,-11.55,1,0.0704,0.942,1.11e-05,0.0961,0.164,184.983
0.566,0.519,10,-8.858,1,0.0465,0.721,5.36e-05,0.117,0.155,130.008
0.643,0.426,5,-9.858,1,0.0368,0.858,0.00149,0.105,0.168,124.955
0.874,0.746,0,-6.197,0,0.0449,0.208,0.0069,0.0796,0.884,128.009
0.845,0.75,0,-5.013,0,0.0367,0.501,0.00104,0.0703,0.86,97.007
0.812,0.902,0,-4.252,1,0.0463,0.529,0.118,0.159,0.851,125.282
0.723,0.527,3,-6.355,0,0.0379,0.613,0.0265,0.385,0.497,99.965
0.666,0.492,7,-8.214,0,0.0504,0.681,0.00436,0.131,0.683,87.996
0.706,0.776,9,-4.41,0,0.189,0.0927,0,0.19,0.747,160.026
0.787,0.838,1,-4.646,1,0.042,0.193,1.37e-06,0.235,0.811,113.969
0.923,0.64,10,-5.821,0,0.0872,0.19,0,0.055,0.563,140.047
0.707,0.851,0,-3.684,1,0.0654,0.465,2.92e-06,0.138,0.738,155.966
0.631,0.377,2,-12.103,1,0.0318,0.41,0.000232,0.105,0.178,129.946
0.524,0.663,11,-5.473,1,0.0729,0.692,8.54e-05,0.0824,0.568,93.381
0.848,0.432,0,-10.262,0,0.0385,0.761,2.5e-05,0.149,0.656,120.0
0.4,0.0725,0,-15.25,1,0.0317,0.778,0.000192,0.379,0.394,98.387
0.534,0.523,7,-8.533,1,0.0318,0.714,1.89e-05,0.225,0.433,159.916
0.377,0.338,8,-8.584,1,0.0324,0.867,0.00412,0.0868,0.401,145.289
0.695,0.649,6,-6.933,1,0.0299,0.234,9.23e-05,0.114,0.17,105.006
0.646,0.448,10,-9.537,1,0.0348,0.583,3.12e-06,0.0972,0.356,92.935
0.394,0.384,10,-9.517,1,0.0377,0.906,0.00016,0.362,0.312,144.757
0.773,0.261,0,-10.715,1,0.0588,0.894,0.00422,0.157,0.32,110.069
0.768,0.325,7,-11.863,1,0.15,0.133,7.69e-06,0.174,0.525,76.975
0.816,0.348,6,-13.128,1,0.085,0.255,0,0.11,0.576,135.961
0.736,0.697,5,-8.883,1,0.109,0.00123,0.00148,0.0483,0.841,160.094
0.782,0.383,9,-12.702,0,0.0616,0.0522,0.000124,0.095,0.236,109.971
0.808,0.541,9,-11.864,0,0.0654,0.0992,0.00351,0.0939,0.38,114.007
0.92,0.41,11,-9.497,1,0.455,0.372,0.000595,0.126,0.861,143.034
0.755,0.677,0,-10.29,1,0.0378,0.0609,0.00539,0.135,0.921,137.94
0.819,0.707,8,-6.087,1,0.087,0.404,0,0.232,0.639,126.025
0.948,0.406,0,-11.745,1,0.13,0.0612,0,0.0745,0.903,130.015
0.792,0.308,6,-14.802,0,0.056,0.0188,0.663,0.219,0.698,122.083
0.766,0.289,0,-11.935,0,0.0458,0.493,0.000958,0.553,0.521,136.003
